song,artist,uri,id,track_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Take Me To Church,Hozier,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,241688,3
Cooler Than Me - Single Mix,Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,0.768,0.82,-4.63,0.0474,0.179,0.0,0.689,0.625,129.965,213293,6
See You Again (feat. Kali Uchis),"Tyler, The Creator",spotify:track:7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,2
Pompeii,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795,3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,214148,4
Hips Don't Lie (feat. Wyclef Jean),Shakira,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,218093,6
Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX,7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4
Back Where I Belong (feat. Avicii),Otto Knows,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,78W8wiUIlQ2SnWY9TVowKZ,https://api.spotify.com/v1/tracks/78W8wiUIlQ2SnWY9TVowKZ,0.497,0.865,-3.19,0.0644,0.0306,0.0679,0.443,0.595,125.96,174203,6
The Heart Wants What It Wants,Selena Gomez,spotify:track:2jcPoPin36hyNRSi4ZsqeB,2jcPoPin36hyNRSi4ZsqeB,https://api.spotify.com/v1/tracks/2jcPoPin36hyNRSi4ZsqeB,0.616,0.789,-4.874,0.0377,0.053,0.0,0.142,0.621,83.066,227373,4
Dynamite,Taio Cruz,spotify:track:2CEgGE6aESpnmtfiZwYlbV,2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036,0.816,119.975,202613,4
Bumpy Ride,Mohombi,spotify:track:0tBRo4P60DgKmg4jt48upm,0tBRo4P60DgKmg4jt48upm,https://api.spotify.com/v1/tracks/0tBRo4P60DgKmg4jt48upm,0.709,0.854,-4.447,0.0399,0.047,0.0,0.0724,0.826,105.074,224402,4
Danza Kuduro (feat. Don Omar),Lucenzo,spotify:track:1kAZhbcsXqfUjnVeqPywn2,1kAZhbcsXqfUjnVeqPywn2,https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2,0.706,0.89,-6.575,0.0847,0.0855,0.0,0.0465,0.896,130.051,202347,4
Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,2N2QvMYwyYHE8V4KZbbG4i,https://api.spotify.com/v1/tracks/2N2QvMYwyYHE8V4KZbbG4i,0.472,0.815,-4.002,0.319,0.171,0.0,0.265,0.81,98.017,230413,0
Whistle,Flo Rida,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,0ltBH1JNzSvQJPjJpvTu9B,https://api.spotify.com/v1/tracks/0ltBH1JNzSvQJPjJpvTu9B,0.754,0.933,-5.786,0.0448,0.0199,0.0,0.297,0.75,103.992,225000,4
Girlfriend,Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK,5HbCnVLXRyZVxnreOPgJCK,https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK,0.56,0.959,-2.433,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,5
Baby,Justin Bieber,spotify:track:4NFhtFE68cXUrfbne8JE2c,4NFhtFE68cXUrfbne8JE2c,https://api.spotify.com/v1/tracks/4NFhtFE68cXUrfbne8JE2c,0.463,0.854,-5.386,0.32,0.0428,0.0,0.0922,0.567,65.038,216520,0
I Cry,Flo Rida,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,5HE3z4Ew7wZ91l3ZOpGKa4,https://api.spotify.com/v1/tracks/5HE3z4Ew7wZ91l3ZOpGKa4,0.693,0.822,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4
Coconut Tree,Mohombi,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,5L9THbmMKB6ZlHlMgzaXHf,https://api.spotify.com/v1/tracks/5L9THbmMKB6ZlHlMgzaXHf,0.687,0.855,-5.341,0.0416,0.0486,0.0,0.233,0.647,130.029,218373,4
One Less Lonely Girl,Justin Bieber,spotify:track:7qUcqYzOtfZe65bednDxmz,7qUcqYzOtfZe65bednDxmz,https://api.spotify.com/v1/tracks/7qUcqYzOtfZe65bednDxmz,0.58,0.75,-4.421,0.194,0.159,0.0,0.274,0.728,86.938,229107,4
Romeo ja Julia (feat. Sophie),Pikku G,spotify:track:0seHreoI3kwp38OlEgLLnT,0seHreoI3kwp38OlEgLLnT,https://api.spotify.com/v1/tracks/0seHreoI3kwp38OlEgLLnT,0.695,0.628,-6.498,0.0442,0.0539,0.0,0.32,0.529,144.114,236200,6
Don't You Worry Child - Radio Edit,Swedish House Mafia,spotify:track:5DcPOPPUnNhyPYbTi2aWjR,5DcPOPPUnNhyPYbTi2aWjR,https://api.spotify.com/v1/tracks/5DcPOPPUnNhyPYbTi2aWjR,0.608,0.828,-3.597,0.051,0.125,0.0,0.113,0.484,128.919,212841,5
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,spotify:track:1HfPcQ3c2HyGeID3u1lmCa,1HfPcQ3c2HyGeID3u1lmCa,https://api.spotify.com/v1/tracks/1HfPcQ3c2HyGeID3u1lmCa,0.491,0.857,-2.634,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,222500,5
Radioactive,Imagine Dragons,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,6Ep6BzIOB9tz3P4sWqiiAB,https://api.spotify.com/v1/tracks/6Ep6BzIOB9tz3P4sWqiiAB,0.473,0.777,-3.698,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813,6
Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF,3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4
I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:05SBRd4fXgn8FX7bf8BCAE,05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,-5.066,0.0483,0.41,0.0,0.237,0.58,124.989,234507,4
Timber (feat. Ke$ha),Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
Scream & Shout,will.i.am,spotify:track:2iJuuzV8P9Yz0VSurttIV5,2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400,3
Wake Me Up - Radio Edit,Avicii,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,6g1NlCpW7fgqDnWbCCDrHl,https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,5
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,spotify:track:4YMqbFcDIFiCBd02PzUBcM,4YMqbFcDIFiCBd02PzUBcM,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM,0.781,0.526,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,0
Play Hard (feat. Ne-Yo & Akon),David Guetta,spotify:track:5YPMEOJ58kfl56VHxTgwx3,5YPMEOJ58kfl56VHxTgwx3,https://api.spotify.com/v1/tracks/5YPMEOJ58kfl56VHxTgwx3,0.691,0.921,-1.702,0.0533,0.173,0.0,0.331,0.8,130.072,201000,4
Superheroes,The Script,spotify:track:37sINbJZcFdHFAsVNsPq1i,37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/tracks/37sINbJZcFdHFAsVNsPq1i,0.49,0.885,-4.121,0.0396,0.00218,0.0,0.0741,0.64,166.996,245467,5
I Cry,Flo Rida,spotify:track:3zrYNl1aMdFrQkcOjKVr5u,3zrYNl1aMdFrQkcOjKVr5u,https://api.spotify.com/v1/tracks/3zrYNl1aMdFrQkcOjKVr5u,0.693,0.822,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4
Counting Stars,OneRepublic,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,1QzFhzIOW7CyRJLpmq5CM0,https://api.spotify.com/v1/tracks/1QzFhzIOW7CyRJLpmq5CM0,0.663,0.705,-4.972,0.0385,0.0654,0.0,0.117,0.477,122.014,257387,3
Gangnam Style (강남스타일),PSY,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y,1R2SZUOGJqqBiLuvwKOT2Y,https://api.spotify.com/v1/tracks/1R2SZUOGJqqBiLuvwKOT2Y,0.727,0.938,-2.872,0.288,0.00432,0.0,0.0911,0.757,132.077,219493,4
Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:4yOn1TEcfsKHUJCL2h1r8I,4yOn1TEcfsKHUJCL2h1r8I,https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I,0.668,0.758,-3.589,0.158,0.0338,0.0,0.204,0.531,135.958,229507,5
Capsize,FRENSHIP,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,3GBlLqIYgB8zWaeWDNJzdh,https://api.spotify.com/v1/tracks/3GBlLqIYgB8zWaeWDNJzdh,0.681,0.708,-6.019,0.0304,0.042,0.14,0.682,0.356,92.993,237760,6
Magical,Tungevaag,spotify:track:43lwHSTEexXRVVeXZtAtfi,43lwHSTEexXRVVeXZtAtfi,https://api.spotify.com/v1/tracks/43lwHSTEexXRVVeXZtAtfi,0.504,0.912,-2.867,0.259,0.199,0.0,0.105,0.248,189.983,218539,5
Bleeding Love,Leona Lewis,spotify:track:6LtPIXlIzPOTF8vTecYjRe,6LtPIXlIzPOTF8vTecYjRe,https://api.spotify.com/v1/tracks/6LtPIXlIzPOTF8vTecYjRe,0.635,0.647,-5.864,0.0366,0.192,0.0,0.154,0.201,104.058,262693,3
Drop That Low (When I Dip),Tujamo,spotify:track:48kF7W23OIcVBsNY5UesuQ,48kF7W23OIcVBsNY5UesuQ,https://api.spotify.com/v1/tracks/48kF7W23OIcVBsNY5UesuQ,0.579,0.896,-4.132,0.373,0.00945,0.836,0.121,0.103,125.672,160000,1
Perfect Strangers,Jonas Blue,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,1CUVN2kn7mW5FjkqXTR2W1,https://api.spotify.com/v1/tracks/1CUVN2kn7mW5FjkqXTR2W1,0.742,0.819,-5.307,0.0487,0.372,0.0,0.277,0.709,117.986,196613,4
